ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
30,2037,some high school,69061,3.9,3.5,6
28,1957,some college,70066,3.8,3.1,5
28,2062,some college,43344,3.9,3,8
27,1959,some college,70547,3.7,3.5,5
31,2132,bachelor's degree,85769,4,3.6,4
32,2070,some high school,44517,4,3.5,9
30,1996,bachelor's degree,78059,3.9,3.4,6
27,1911,high school,65903,3.6,3.4,4
27,1862,high school,81958,3.5,3.8,4
29,2042,high school,55639,3.8,3.4,4
24,1633,some college,87666,3.1,3.3,5
24,1775,some college,51289,3.2,3.2,5
30,1973,high school,60791,3.7,3.3,4
27,1977,associate's degree,89638,3.6,3.3,4
30,2176,associate's degree,75078,4,3.4,5
26,1806,high school,48415,3.3,2.9,6
25,1771,some high school,23761,3.2,2.9,5
27,1795,high school,65771,3.3,3.3,4
31,2115,master's degree,92830,4,3.7,4
25,1872,high school,75537,3.4,3.3,4
30,1990,some high school,35385,3.7,3.5,4
26,1907,high school,65189,3.6,3.6,5
26,1790,high school,58375,3.2,3.5,3
30,2020,associate's degree,82015,3.8,3.4,4
29,2014,some high school,57977,3.9,3.6,3
28,1949,some college,65074,3.6,3.1,4
26,1807,some high school,59223,3.5,3.5,4
29,2044,some college,72500,3.7,3.7,3
32,2082,bachelor's degree,81805,4,3.6,3
33,2092,associate's degree,60725,4,3.8,3
32,2138,high school,45913,4,3.1,6
29,1989,high school,60896,3.7,3.5,4
25,1947,bachelor's degree,105521,3.6,3.7,4
25,1948,some college,64874,3.5,3.5,3
30,1980,some college,54656,3.7,3.6,3
26,1756,some college,70276,3.2,3.1,5
32,2273,master's degree,90840,4,3.5,5
26,1969,bachelor's degree,86703,3.8,3.5,5
26,1896,associate's degree,86810,3.3,3.2,5
24,1850,some college,73625,3.3,3.4,5
25,1900,some college,59003,3.5,2.9,5
26,1850,high school,58082,3.5,3.2,8
31,2121,associate's degree,69447,3.9,3.1,5
28,2056,master's degree,106080,3.8,3.2,8
29,2007,master's degree,104311,3.7,3.7,3
27,2064,some high school,48002,3.8,3.6,4
30,2068,some high school,44010,3.8,3.2,6
30,2048,associate's degree,67949,3.9,3.3,4
31,2083,some high school,75315,4,3.7,3
30,2058,associate's degree,68427,4,3.6,3
29,1992,associate's degree,81189,3.9,3.8,3
26,1876,high school,86425,3.4,3.6,3
30,2086,associate's degree,77866,4,3.7,3
32,2202,high school,87119,4,3.3,5
29,2050,bachelor's degree,78089,3.8,3.7,5
26,1920,some college,55945,3.5,3.4,3
29,1929,associate's degree,28362,3.6,2.6,9
29,2081,bachelor's degree,55188,4,3.2,4
29,2084,some college,88191,4,3.7,5
26,1965,high school,49901,3.7,3.2,6
23,1782,some high school,47421,3.2,3.1,7
23,1784,some college,59033,3.2,3.1,4
31,2031,high school,66481,3.9,3.4,8
31,2148,some college,43529,4,3.1,7
31,2081,high school,69040,4,3.6,6
33,2105,some college,54361,4,3.3,4
27,1930,master's degree,95093,3.6,3.5,7
29,2029,high school,81727,3.7,3.5,6
25,1821,high school,54831,3.2,3.5,3
29,1908,high school,49498,3.7,3.2,6
26,1974,some college,57398,3.6,3.3,6
28,1865,some high school,49439,3.6,3.1,5
32,2149,bachelor's degree,75300,4,3.8,5
24,1907,bachelor's degree,67942,3.4,3.3,4
28,1926,master's degree,53993,3.6,3.3,4
26,1820,some high school,40639,3.3,3.3,6
26,1743,some high school,93246,3.2,3.7,3
31,2086,some high school,36518,3.9,3.1,6
26,1861,bachelor's degree,63965,3.2,3.2,4
25,1932,some college,71393,3.5,3.3,4
22,1752,some high school,46584,3,3.1,5
27,1926,some high school,69236,3.7,2.8,6
27,1956,bachelor's degree,76541,3.7,3.3,4
24,1704,some high school,33913,3,3,5
25,1856,some high school,58080,3.6,3.1,5
28,2092,bachelor's degree,75541,3.9,3.5,7
34,2298,some college,47094,4,3.6,9
28,1996,high school,30607,3.7,3.5,6
32,2174,high school,47176,4,3.4,5
31,2130,some college,65759,4,3.7,4
26,2049,some college,38659,3.8,3.1,6
31,2122,some high school,44820,4,3.6,4
29,2110,associate's degree,51916,4,3.3,4
33,2105,associate's degree,76379,4,3.7,4
30,2024,some high school,56695,3.8,3.5,4
29,2041,master's degree,95162,3.8,3.7,4
30,2033,high school,51271,3.9,3.1,5
29,2002,high school,79906,3.8,3.7,4
24,1785,some college,43653,3.3,3.3,4
25,1773,some college,88136,3.3,3.5,4
28,2099,bachelor's degree,76003,3.9,3.7,5
28,1960,some college,81398,3.8,3.2,6
25,1799,associate's degree,70550,3.5,3.2,4
30,2060,high school,57307,3.9,3.6,4
32,2266,some college,64778,4,3.2,5
29,2087,master's degree,88295,4,3.2,8
26,1778,high school,56933,3.2,3.4,3
28,1990,some high school,43540,3.7,2.9,7
29,2067,some college,65803,3.9,3.3,4
28,1952,bachelor's degree,85535,3.7,3.3,4
29,2085,some high school,8924,3.8,3.1,5
24,1922,some college,76837,3.4,3.3,5
28,2025,some college,75633,3.8,3.4,6
30,2002,high school,34126,3.8,3.1,5
30,2127,some college,31640,3.9,3.2,5
29,1888,high school,79389,3.6,3.5,6
30,1989,high school,64290,3.7,3.5,5
21,1690,some high school,45919,2.9,2.9,7
26,1911,some high school,32742,3.5,3.3,5
24,1785,some college,53577,3.3,3.1,4
29,2041,some high school,54236,3.8,3.3,4
25,1900,some college,66289,3.5,3.4,4
26,1883,some high school,25210,3.5,3.3,4
28,1965,associate's degree,79503,3.6,3.4,5
27,1977,master's degree,67587,3.6,3.2,6
35,2246,associate's degree,74377,4,3.6,5
33,2282,some college,77172,4,3.4,5
28,2049,bachelor's degree,82834,3.8,3.4,4
28,2016,some college,61416,3.8,3.4,4
27,1946,some college,79711,3.6,2.9,6
28,2008,some college,37370,3.8,3,6
32,2202,some college,58686,4,3.5,7
24,1794,associate's degree,80819,3.2,3.5,3
29,2039,associate's degree,89433,3.8,3.5,4
23,1761,associate's degree,90677,3.2,3.4,7
30,2013,associate's degree,78752,3.9,3.3,7
26,1995,some college,52443,3.7,3.3,4
32,2017,some high school,58446,3.9,3.7,3
28,1938,some college,52594,3.6,3.1,5
28,1967,some college,43073,3.7,3.3,5
30,2115,high school,33658,3.9,3.2,7
28,2015,some college,65762,3.7,3.3,4
24,1760,high school,58025,3.1,3.4,4
33,2230,some college,60138,4,3.5,4
29,1921,high school,47800,3.7,3.3,6
28,1975,associate's degree,76476,3.8,3.4,4
27,1883,some college,76775,3.4,3.6,3
33,2342,associate's degree,62899,4,3.3,7
27,1947,some college,60874,3.7,3.1,5
26,1746,some high school,25035,3.1,3,5
29,1929,some high school,70839,3.6,3.6,5
30,2152,some high school,33241,4,3.5,5
29,1905,associate's degree,81010,3.6,3.5,4
26,1966,some college,50103,3.6,3.5,3
30,2138,bachelor's degree,88438,4,3.5,4
26,1924,some college,83463,3.5,3.2,8
31,2006,some college,77274,3.9,3.3,5
28,1960,bachelor's degree,109749,3.7,3.4,4
31,2082,high school,93152,4,3.7,4
26,1985,bachelor's degree,92186,3.5,3.2,5
27,2002,some college,52214,3.9,3,8
29,2095,bachelor's degree,86677,3.9,3.2,5
36,2389,master's degree,92242,4,3.9,5
25,1912,associate's degree,72944,3.3,3.2,4
27,1837,high school,80577,3.4,3.3,4
34,2309,bachelor's degree,79532,4,3.5,4
26,1873,some college,26485,3.5,3.2,6
28,1903,high school,57226,3.6,3.3,5
31,2128,some college,84864,4,3.7,3
29,2088,some college,53695,4,3.2,5
29,1968,master's degree,72511,3.8,3.5,4
28,1924,associate's degree,38500,3.6,3.3,5
27,1940,some high school,29914,3.6,3.2,5
29,2045,bachelor's degree,94493,3.8,3.4,5
27,2055,some high school,32721,3.8,3.1,6
28,2012,bachelor's degree,71581,4,3.4,4
29,2046,some high school,46907,3.9,3.5,8
28,2055,master's degree,82670,4,3.2,5
27,1763,some high school,57149,3.2,3.3,6
30,2010,high school,51203,3.8,3.4,6
30,2010,high school,56095,3.8,3.6,3
27,1837,some college,51327,3.5,3.3,4
24,1721,associate's degree,101210,3.2,3.1,5
26,1935,some high school,53492,3.5,3.2,4
28,1948,associate's degree,58865,3.6,3.5,6
27,1890,associate's degree,48467,3.5,3,6
32,2142,associate's degree,91451,4,3.8,3
33,2209,associate's degree,68560,4,3.4,4
35,2258,associate's degree,58165,4,3.6,4
28,1885,some high school,81596,3.4,3.5,3
30,2118,bachelor's degree,87767,4,3.7,6
31,2132,associate's degree,77990,4,3.7,5
35,2221,some college,58041,4,3.7,3
31,2074,some high school,38932,3.9,3.4,8
31,2051,high school,42180,3.8,3.4,9
27,1888,some high school,52231,3.3,3.2,4
26,1892,high school,58763,3.4,3.2,8
31,2043,high school,78037,3.9,3.6,4
29,2097,high school,47351,3.9,3.3,5
29,2148,bachelor's degree,60932,3.9,3,8
30,2110,some college,49695,3.9,3.4,6
29,1932,high school,50407,3.6,3.3,4
29,2138,bachelor's degree,76547,4,3.4,4
30,2155,high school,61856,4,3.5,4
26,1887,high school,72165,3.6,3.5,7
28,2010,high school,34726,3.8,3,7
19,1439,some high school,75714,2.4,3.2,5
26,1898,some high school,63368,3.4,3.4,4
33,2174,some high school,49868,4,3.2,6
32,2229,bachelor's degree,90953,4,3.5,5
34,2150,some college,36612,4,3.6,4
31,2023,high school,84410,3.9,3.9,5
29,2030,bachelor's degree,85970,3.8,3.4,4
30,2099,some high school,62488,4,3.3,5
28,1846,some high school,21622,3.4,3.4,4
32,2174,some college,44396,4,3.4,5
29,2068,some high school,50938,3.8,3,5
29,2113,some high school,52100,3.8,3.2,5
33,2131,some college,64919,4,3.7,6
28,1950,some college,74267,3.6,3.4,4
26,1820,high school,64503,3.4,3.1,5
29,2070,some college,67119,3.9,3.4,6
23,1704,some college,57341,3,3,4
26,1818,some college,76426,3.4,3.3,6
28,1873,high school,90239,3.5,3.2,5
28,1992,high school,53030,3.7,3.4,4
23,1794,some college,49128,3.1,3.1,7
34,2270,associate's degree,100807,4,3.9,4
28,1944,some high school,49180,3.8,3.4,9
27,1895,high school,52375,3.6,3.2,4
26,1833,high school,34741,3.4,3.2,5
34,2218,high school,30463,4,3.4,5
27,1920,bachelor's degree,68447,3.7,3.4,5
29,2057,some college,66379,3.8,3.4,4
29,2001,bachelor's degree,93474,3.7,3.6,6
27,1852,some college,60517,3.5,3.3,4
32,2149,associate's degree,92444,4,3.6,4
28,2032,some college,82653,3.8,3.4,4
28,1916,associate's degree,44867,3.6,3.1,5
25,1864,some college,61006,3.5,3.2,4
27,1969,some college,74350,3.8,3.7,3
25,1907,some college,83539,3.4,3.4,4
32,2164,bachelor's degree,85503,4,3.7,4
34,2254,some college,64113,4,3.4,4
24,1782,some high school,54493,3.2,3.5,3
31,2067,some high school,43803,4,3.3,5
25,1814,high school,26512,3.2,3,5
33,2226,high school,59366,4,3.8,3
29,1930,high school,45848,3.8,3,6
27,1843,some college,54037,3.4,3.5,5
30,2190,bachelor's degree,98557,4,3.6,4
25,1790,high school,47056,3.3,3.2,5
30,2158,associate's degree,89507,4,3.5,4
27,2008,some college,80303,3.7,3.4,4
28,1947,some college,70106,3.7,3.4,4
32,2069,master's degree,96042,4,3.4,8
26,1891,some college,64664,3.4,3.4,3
31,2104,some college,83095,4,3.8,5
32,2089,some high school,71995,3.9,3.4,6
29,1905,high school,54832,3.5,2.8,5
28,1866,high school,59783,3.5,3.4,6
30,2077,some high school,50287,3.9,3.6,5
27,1996,some college,49402,3.8,3.5,4
29,2007,high school,65759,3.9,3.4,4
30,2091,high school,45979,3.9,3.5,8
33,2185,associate's degree,97148,4,4,3
27,1973,bachelor's degree,79790,3.7,2.9,7
34,2263,bachelor's degree,74502,4,3.6,5
26,1855,some college,61438,3.4,3.4,5
26,1955,bachelor's degree,98378,3.6,3.6,3
24,1779,some college,68404,3.2,3.1,4
25,1888,some high school,42023,3.3,3.1,9
27,1912,associate's degree,81948,3.6,3.3,6
27,1968,bachelor's degree,54237,3.7,3.2,7
29,1977,bachelor's degree,90291,3.8,3.4,4
30,2091,some college,54700,3.9,3.4,4
29,2049,some high school,73534,3.8,3.7,5
27,2024,master's degree,101072,3.8,3.5,4
30,2056,associate's degree,104390,3.9,3.6,4
32,2067,some high school,67013,4,2.9,9
30,2184,associate's degree,69014,4,3.8,3
28,1948,some college,74337,3.7,3.4,6
31,2105,master's degree,93098,4,3.7,6
26,1842,some high school,67110,3.4,3.2,4
29,2089,associate's degree,51157,3.9,3.3,5
31,2135,high school,55778,4,3.5,7
30,2055,bachelor's degree,96093,4,3.5,4
29,1918,some college,61145,3.6,3.3,4
28,1931,high school,59551,3.6,3.2,6
27,1964,some college,54803,3.5,3.1,4
26,1925,some college,56023,3.6,3.4,3
35,2365,bachelor's degree,70972,4,3.8,6
28,1929,bachelor's degree,77561,3.7,3.3,6
28,1910,high school,48159,3.5,3.5,4
29,2013,high school,61866,3.7,3.5,5
25,1748,some college,68557,3.2,3.2,6
25,1766,some high school,56908,3.1,3.3,4
28,1983,associate's degree,74057,3.8,3.8,4
24,1825,some college,63193,3.3,2.9,5
25,1821,some college,49150,3.3,3.4,5
27,1956,bachelor's degree,83656,3.7,3.5,4
28,1971,some college,73640,3.7,3.6,4
29,2058,associate's degree,95059,4,3.7,5
34,2354,bachelor's degree,91968,4,4,3
26,1789,high school,56574,3.2,2.9,7
30,2082,high school,44504,3.8,3.3,5
32,2142,master's degree,76206,4,3.5,8
28,2015,some high school,69427,3.8,3.6,4
30,1967,associate's degree,52264,3.8,3.5,3
27,1932,high school,45890,3.7,3.2,5
27,1960,bachelor's degree,73654,3.7,3,5
30,2004,associate's degree,65348,3.9,3.1,7
35,2275,bachelor's degree,84562,4,3.7,4
31,2079,associate's degree,68526,4,3.1,7
33,2284,associate's degree,80978,4,3.3,8
27,1895,some high school,71433,3.5,3.5,4
29,2160,associate's degree,59419,4,3.4,6
28,1977,associate's degree,84397,3.7,3.6,3
30,2124,some college,58718,4,3.1,6
28,1990,high school,53065,3.8,3.3,4
31,2036,associate's degree,83964,3.9,3.4,4
25,1852,high school,40583,3.4,3.2,5
28,1790,high school,49986,3.5,3.2,5
33,2338,associate's degree,61829,4,3.5,4
30,2244,bachelor's degree,92906,4,3.5,4
32,2211,some college,52320,4,3.2,5
31,2179,bachelor's degree,57390,4,3.5,4
30,2116,associate's degree,95781,4,3.1,6
27,1919,high school,71812,3.6,3.2,5
33,2215,associate's degree,71448,4,3.4,4
27,2002,bachelor's degree,75969,3.8,3.4,4
30,2209,bachelor's degree,78331,4,3.4,5
30,2134,associate's degree,79287,4,3.3,5
27,1955,some college,64733,3.7,3.2,4
29,2076,some college,71015,4,3.8,6
30,2098,associate's degree,89575,4,3.5,4
30,2000,associate's degree,66155,3.9,3.5,4
25,1759,high school,76302,3.1,3.2,4
28,1944,associate's degree,67530,3.6,3.2,5
29,2043,associate's degree,66970,3.8,3.4,6
30,2064,bachelor's degree,89864,3.9,3.4,4
31,2190,master's degree,97130,4,3.7,5
30,2120,associate's degree,86125,4,3.5,4
27,1927,some college,58557,3.7,3.4,8
28,1989,some high school,58559,3.6,3.2,4
27,1995,associate's degree,79596,3.8,3.8,3
26,1976,some college,51327,3.5,3,5
31,2272,bachelor's degree,89828,4,3.9,3
31,2162,bachelor's degree,104390,4,3.6,4
31,1982,some college,63050,3.9,3.5,3
32,2151,some college,40098,4,3.1,6
29,2001,associate's degree,82509,3.9,3.6,4
31,2102,associate's degree,91164,4,3.7,5
28,2041,high school,57999,3.7,3.3,4
29,1997,some college,54333,3.8,3.5,4
27,1908,master's degree,104646,3.5,3.3,4
24,1815,some high school,37598,3.2,3.3,4
27,2020,associate's degree,72269,3.6,3.2,8
25,1890,bachelor's degree,80896,3.6,3.6,3
24,1782,some high school,50999,3.1,3.2,5
26,2010,some high school,42609,3.7,3,6
27,1954,some college,63750,3.6,3.1,8
30,2120,high school,69795,3.9,3.5,8
26,1901,some high school,25638,3.6,3.3,4
26,1817,some high school,66500,3.3,3.1,4
32,2134,bachelor's degree,113535,4,3.5,4
30,2037,bachelor's degree,77319,4,3.2,5
24,1827,some high school,47988,3.2,3,5
28,2025,associate's degree,86488,3.7,3.4,4
28,2046,master's degree,100353,3.9,3.7,4
21,1639,some high school,53599,2.7,3.3,3
29,2026,associate's degree,75811,4,3.3,5
26,1820,high school,62224,3.4,3.2,4
29,1993,some college,64619,3.8,3.1,6
25,1757,some high school,44385,3.4,2.9,6
33,2207,master's degree,90860,4,3.4,6
30,2108,bachelor's degree,87165,4,3.6,6
29,1899,high school,55378,3.6,3.6,3
31,2111,master's degree,80763,4,3.8,3
23,1663,high school,63135,2.8,3.1,4
30,1995,associate's degree,71731,3.8,3.6,6
28,1959,some college,74760,3.7,3.3,4
26,1917,associate's degree,90538,3.4,3.7,6
34,2246,some college,80645,4,3.7,4
31,2110,some college,51939,4,3.5,4
32,2073,high school,61630,4,3.4,8
32,2266,bachelor's degree,110010,4,3.8,7
32,2102,master's degree,83203,4,3.4,4
27,1935,master's degree,78342,3.7,3.3,4
27,2053,some college,46648,3.8,3.1,7
31,2133,master's degree,65376,4,3.5,6
31,2147,bachelor's degree,110045,4,4,3
30,2094,bachelor's degree,77790,4,3.6,3
32,2255,master's degree,93234,4,3.7,5
33,2269,bachelor's degree,82227,4,3.3,5
27,1983,some college,43559,3.7,3.2,6
31,2073,some college,80508,4,3.4,4
27,1928,high school,43099,3.4,3.2,7
31,2078,high school,35496,4,3.5,4
29,2007,master's degree,73742,3.7,3.5,6
27,1990,bachelor's degree,86129,3.6,3.5,4
30,2020,some high school,41631,3.8,3.6,5
30,2101,some college,74414,4,3.6,7
31,1979,high school,62048,3.9,3.6,4
26,1812,some college,72336,3.2,3.1,4
27,1858,some college,56468,3.4,3.2,5
34,2266,bachelor's degree,79066,4,3.3,5
32,2153,master's degree,84379,4,3.1,5
26,1908,some high school,44113,3.5,3.2,5
30,2115,some college,46105,4,3.5,9
34,2206,some college,88172,4,3.7,4
30,2125,bachelor's degree,93746,4,3.5,4
30,2044,associate's degree,59207,3.9,3.1,5
27,2006,high school,81132,3.8,3.8,6
25,1812,some high school,38115,3.3,3.1,6
28,2010,associate's degree,94442,3.7,3.7,4
29,2048,high school,75611,3.9,3.3,7
33,2238,some college,56898,4,3.5,5
24,1868,bachelor's degree,74707,3.4,2.8,6
26,1893,high school,54514,3.5,3.1,7
32,2228,some college,58689,4,3.7,3
27,1911,high school,40231,3.6,3.2,5
36,2230,associate's degree,69412,4,3.5,7
21,1644,high school,46054,2.9,3.1,5
33,2183,associate's degree,51595,4,3.6,4
32,2177,some college,102963,4,3.8,3
30,2132,some college,69947,4,3.4,4
31,2148,bachelor's degree,97146,3.9,3.5,6
27,1914,bachelor's degree,49233,3.6,3.1,5
30,2117,master's degree,113733,4,3.8,4
24,1737,some high school,68298,3.1,3,7
27,1990,high school,53663,3.5,3.2,4
34,2291,master's degree,82202,4,3.7,6
28,1979,associate's degree,91621,3.8,3.2,8
28,1882,high school,68778,3.5,3.6,3
25,1837,high school,34342,3.4,3.3,6
30,2040,associate's degree,106943,3.9,3.6,4
33,2274,master's degree,97340,4,3.8,6
27,1929,some college,81058,3.5,3.2,4
28,2088,master's degree,124860,3.8,3.4,5
23,1640,high school,55130,2.9,3.1,5
24,1950,some high school,59427,3.4,3.5,4
24,1797,some college,64114,3.3,3.2,7
32,2247,associate's degree,85103,4,3.7,6
27,1986,master's degree,79102,3.6,3.5,4
29,1965,associate's degree,67916,3.9,3.4,8
26,1922,associate's degree,79924,3.4,3.4,4
32,2076,some college,65001,4,3.1,5
28,1933,master's degree,100251,3.6,3.4,4
28,1917,some high school,76716,3.6,3.5,6
28,2036,associate's degree,86501,3.9,3.5,4
31,2155,master's degree,101101,4,3.6,5
29,2025,associate's degree,78621,3.9,3.3,7
33,2224,associate's degree,44304,4,3.6,7
27,1932,bachelor's degree,99045,3.7,3.1,7
31,2174,associate's degree,71012,4,3.4,5
27,2062,bachelor's degree,69522,3.8,3.4,5
25,1863,some college,108854,3.4,3.4,4
31,2124,some college,70054,4,3.2,5
24,1871,high school,60682,3.3,3.1,5
32,2033,associate's degree,55150,3.9,3.5,4
30,2122,associate's degree,73718,4,3.1,5
26,1886,high school,46470,3.5,3.3,5
27,1951,some high school,58357,3.7,3.2,6
27,2115,master's degree,90725,4,3.7,5
33,2194,high school,57023,4,3.4,6
29,1975,high school,47972,3.6,3.2,5
32,2154,associate's degree,59051,4,3.2,6
31,2173,associate's degree,75726,4,3.9,5
29,1975,some high school,43098,3.8,3.2,7
29,2031,some high school,37742,3.8,3.4,5
27,1946,some college,36604,3.6,3.5,4
27,1850,some high school,45733,3.4,3.1,5
26,1928,high school,62962,3.7,3.3,6
24,1786,high school,80155,3.3,3.4,4
33,2360,bachelor's degree,95812,4,3.7,4
31,2111,bachelor's degree,102903,4,3.9,6
30,2128,high school,78670,3.9,3.9,3
26,1819,high school,66264,3.3,3.4,7
26,1920,master's degree,100042,3.5,3.5,5
25,1613,high school,46730,2.9,2.9,7
27,1819,some high school,27539,3.5,3.1,6
28,1887,high school,67267,3.3,3.3,4
33,2149,some high school,42701,4,3.5,5
31,2084,some college,90105,4,3.7,4
29,2098,associate's degree,79239,4,3.3,6
32,2153,some college,66366,4,3.7,4
26,1968,some college,64819,3.5,3.2,7
28,2042,some college,63903,3.9,3.6,3
29,2035,some college,43088,4,3.2,5
26,1874,some high school,38610,3.4,3.3,5
29,1980,high school,60572,3.6,3.4,5
35,2350,master's degree,62536,4,3.8,4
31,2101,associate's degree,88477,3.9,3.8,4
31,2216,high school,49760,4,3.3,7
31,2128,some college,68100,4,3.3,7
31,2225,some college,65072,4,3.4,5
32,2095,associate's degree,51901,4,3.5,7
28,2105,bachelor's degree,85458,4,3.7,3
32,2083,some college,41226,4,3.1,6
22,1748,some high school,53893,3,3.2,4
28,1953,associate's degree,89570,3.6,3.3,7
28,1949,bachelor's degree,96930,3.7,3.4,4
32,2147,associate's degree,75900,4,3.8,3
31,2190,high school,63984,4,3.7,5
26,1787,high school,38869,3.3,3.1,6
28,1917,associate's degree,39780,3.6,3.3,5
28,2104,bachelor's degree,107330,4,3.1,7
26,1832,some high school,25437,3.3,2.6,6
34,2266,associate's degree,86436,4,3.6,4
27,2055,bachelor's degree,79984,3.9,3.4,4
29,1944,master's degree,80892,3.8,3.3,7
28,1880,some high school,57846,3.5,3.4,5
30,2027,some high school,55822,3.7,3.4,4
28,2044,associate's degree,82574,3.9,3.6,6
30,2046,high school,70535,3.8,3.3,5
32,2177,some college,47466,4,3.5,7
27,1826,some high school,35769,3.4,3,6
30,2116,some college,72274,4,3.5,5
23,1704,high school,67027,2.9,3.1,4
35,2236,associate's degree,88698,4,3.5,5
29,1974,high school,36166,3.8,3,7
27,1915,some college,68653,3.4,3.2,4
25,1870,some college,33788,3.4,3.1,5
33,2344,master's degree,86064,4,3.7,4
28,1963,bachelor's degree,97834,3.6,3.4,4
28,2045,some high school,32592,3.9,3.3,6
26,1773,high school,67303,3.2,3.3,4
28,1968,bachelor's degree,87670,3.7,3.7,4
31,2197,some college,65582,4,3.6,4
27,1897,some college,69657,3.5,3.2,5
25,1872,bachelor's degree,61847,3.4,3,4
27,1943,some high school,17076,3.5,2.8,8
28,2041,high school,60089,3.7,3.6,7
26,1880,some high school,12152,3.6,3.3,4
27,1924,some high school,58013,3.5,3.3,4
31,2082,associate's degree,72135,4,3.7,3
30,2033,some high school,79707,3.9,3.6,4
26,1806,high school,53573,3.3,3.5,3
33,2234,some college,57767,4,3.4,6
27,2058,associate's degree,81709,3.7,3.2,6
25,1942,some high school,62704,3.4,3.1,6
27,1992,some high school,40419,3.6,3.2,5
29,1977,bachelor's degree,106074,3.7,3.8,3
27,1930,some college,95159,3.6,3.3,7
26,1845,some high school,41270,3.3,2.9,6
25,1918,some college,86753,3.6,3.8,6
25,1729,some college,70267,3.3,3.6,3
24,1884,bachelor's degree,66288,3.4,3.3,4
28,1899,high school,102310,3.6,3.5,4
35,2246,associate's degree,63698,4,3.6,4
27,1987,some college,97767,3.7,3.7,3
29,1878,some high school,62058,3.7,3.3,4
32,2027,some college,83420,4,3.5,5
27,1963,high school,79733,3.6,3.5,5
30,2073,associate's degree,76415,3.9,3.1,5
29,2077,associate's degree,114992,3.9,3.4,6
32,2112,associate's degree,65129,4,3.6,5
27,2066,some college,86297,3.9,3.7,4
31,2162,master's degree,86414,4,3.5,4
30,1961,high school,51859,3.7,2.9,6
28,1981,associate's degree,64146,3.7,3.3,4
27,1858,associate's degree,75357,3.4,3.5,4
27,1975,master's degree,104920,3.5,3.6,3
31,2152,master's degree,87145,4,3.8,4
33,2264,master's degree,105248,4,3.6,5
29,1966,high school,56569,3.8,3.1,5
29,2065,associate's degree,44118,3.9,3.2,5
24,1748,high school,53318,3.1,3.3,3
27,1999,bachelor's degree,81227,3.6,3.2,4
31,2219,some college,48621,4,3.6,4
29,1970,some high school,77222,3.7,3.3,5
30,2034,associate's degree,46467,4,3.1,6
28,1891,some college,42384,3.4,3,5
