gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,master's degree,standard,none,69,78,71
female,group C,some high school,free/reduced,completed,81,91,89
female,group E,master's degree,standard,none,73,79,78
female,group D,bachelor's degree,free/reduced,none,57,63,63
male,group C,master's degree,standard,none,77,75,76
female,group C,bachelor's degree,standard,none,72,83,83
female,group A,associate's degree,free/reduced,completed,85,98,95
male,group E,high school,standard,none,95,79,78
male,group E,some high school,standard,none,42,43,35
male,group D,some college,free/reduced,none,42,39,42
male,group B,high school,standard,completed,53,54,56
female,group D,high school,standard,completed,53,56,64
female,group C,high school,standard,none,74,78,75
female,group E,some high school,free/reduced,none,67,70,68
female,group D,high school,standard,completed,82,93,91
male,group D,associate's degree,standard,completed,91,81,84
female,group C,bachelor's degree,standard,none,89,95,99
female,group A,some college,free/reduced,none,71,78,75
female,group D,some college,standard,completed,55,68,75
male,group C,some college,free/reduced,completed,45,51,39
female,group D,some high school,standard,none,60,56,53
female,group A,some college,standard,none,71,82,77
male,group D,some college,standard,none,70,56,60
male,group B,bachelor's degree,standard,completed,69,67,63
male,group C,high school,free/reduced,none,71,66,62
male,group C,some high school,free/reduced,none,44,41,33
female,group B,some high school,free/reduced,completed,67,82,78
female,group D,high school,standard,none,69,78,79
male,group C,high school,free/reduced,none,63,62,58
female,group B,associate's degree,free/reduced,completed,54,74,71
female,group C,some college,standard,none,68,73,64
male,group C,associate's degree,standard,completed,54,58,58
female,group D,associate's degree,standard,none,67,59,63
female,group C,high school,standard,none,73,87,73
male,group B,some college,free/reduced,none,54,69,56
female,group C,high school,standard,none,72,79,77
female,group C,some college,standard,none,57,67,68
female,group E,some high school,standard,none,75,89,82
female,group C,some college,standard,completed,74,75,75
female,group D,master's degree,standard,none,73,79,87
female,group B,some high school,standard,completed,54,58,57
male,group E,bachelor's degree,standard,completed,91,89,90
female,group E,some high school,standard,completed,34,49,45
female,group D,high school,free/reduced,none,61,74,77
male,group B,associate's degree,standard,none,53,48,53
male,group D,some college,standard,completed,99,95,95
male,group D,master's degree,standard,none,85,74,75
female,group D,high school,standard,completed,78,93,85
female,group D,high school,free/reduced,completed,66,83,77
male,group C,associate's degree,standard,completed,87,89,85
male,group A,associate's degree,standard,completed,76,91,85
male,group B,bachelor's degree,standard,completed,62,72,70
female,group C,associate's degree,standard,none,55,65,65
female,group A,some college,standard,none,84,99,94
male,group D,master's degree,standard,none,65,70,69
male,group C,bachelor's degree,standard,none,100,90,86
male,group E,master's degree,standard,none,100,88,86
male,group D,associate's degree,standard,none,91,90,83
male,group B,some high school,free/reduced,none,52,55,48
male,group A,associate's degree,standard,completed,53,47,44
female,group C,high school,standard,completed,50,49,48
female,group C,some college,free/reduced,none,70,82,79
female,group B,associate's degree,free/reduced,completed,53,60,61
male,group C,some college,standard,completed,66,79,73
female,group C,bachelor's degree,free/reduced,none,63,75,72
female,group C,bachelor's degree,standard,none,54,55,55
female,group B,some college,standard,none,65,74,63
female,group E,some high school,standard,none,68,72,73
male,group D,some college,free/reduced,none,68,51,50
female,group B,some college,standard,none,87,86,86
male,group D,some high school,free/reduced,completed,81,79,76
female,group C,master's degree,standard,none,56,68,65
male,group E,some high school,standard,none,89,80,77
male,group B,bachelor's degree,standard,none,67,49,52
female,group D,some high school,standard,completed,70,80,81
male,group C,some college,free/reduced,none,74,79,77
female,group C,some college,standard,none,66,76,74
male,group B,master's degree,standard,none,91,86,82
female,group C,associate's degree,standard,completed,92,96,100
male,group E,master's degree,free/reduced,completed,93,80,83
female,group A,some college,free/reduced,none,64,75,69
female,group C,high school,free/reduced,none,32,53,48
female,group A,master's degree,standard,none,81,80,85
female,group C,high school,free/reduced,none,68,74,78
female,group E,some college,free/reduced,none,89,93,96
female,group B,some college,free/reduced,completed,44,60,57
male,group C,some college,standard,none,87,79,82
male,group D,high school,standard,none,64,65,54
female,group C,high school,standard,none,62,60,61
female,group D,some high school,free/reduced,completed,58,76,81
male,group E,associate's degree,standard,none,76,57,62
male,group D,some college,free/reduced,completed,72,70,71
female,group B,some high school,free/reduced,none,57,63,58
female,group D,bachelor's degree,standard,none,71,76,75
male,group A,some college,standard,none,74,77,75
female,group E,some high school,standard,none,73,75,66
female,group E,associate's degree,free/reduced,completed,74,95,98
female,group C,some college,standard,none,66,82,78
male,group D,high school,standard,none,73,59,62
male,group D,high school,standard,none,72,70,67
male,group C,some college,free/reduced,none,63,51,51
female,group C,associate's degree,standard,completed,72,81,81
male,group D,some college,standard,completed,90,98,91
male,group D,some high school,free/reduced,none,73,74,72
male,group D,some high school,free/reduced,completed,51,49,48
female,group C,bachelor's degree,free/reduced,none,30,48,46
female,group C,high school,free/reduced,none,56,73,68
male,group D,high school,free/reduced,completed,71,78,83
male,group C,high school,standard,completed,86,90,85
male,group C,bachelor's degree,standard,completed,60,60,63
male,group D,some college,standard,none,63,69,64
male,group A,some college,standard,completed,68,76,71
female,group D,bachelor's degree,standard,completed,92,100,100
female,group B,high school,free/reduced,completed,53,69,66
male,group B,master's degree,standard,none,79,67,68
female,group D,some high school,free/reduced,none,43,57,58
male,group E,some college,free/reduced,completed,73,78,74
male,group B,associate's degree,standard,none,69,69,66
male,group D,associate's degree,standard,none,50,43,41
female,group D,associate's degree,standard,none,71,81,77
male,group E,master's degree,standard,none,83,76,73
male,group D,some college,free/reduced,none,69,62,60
female,group D,some college,free/reduced,none,55,55,64
female,group C,high school,standard,none,78,75,76
female,group E,bachelor's degree,standard,none,65,62,68
female,group C,bachelor's degree,standard,none,67,68,72
female,group E,some college,standard,completed,73,72,73
female,group A,high school,standard,completed,76,95,90
female,group D,high school,standard,completed,68,72,81
male,group C,some college,standard,none,77,69,70
male,group B,high school,standard,none,56,45,41
female,group C,associate's degree,free/reduced,none,42,50,50
female,group B,some college,free/reduced,none,36,54,55
female,group E,some college,standard,none,77,75,76
male,group C,high school,standard,none,77,73,66
female,group A,associate's degree,free/reduced,none,76,88,85
female,group B,master's degree,standard,none,66,73,75
female,group B,associate's degree,standard,none,57,62,61
female,group C,associate's degree,standard,none,60,70,71
male,group B,associate's degree,standard,completed,72,64,71
male,group C,high school,standard,completed,77,75,69
female,group B,some college,free/reduced,completed,65,72,71
male,group E,bachelor's degree,standard,none,71,66,61
female,group E,some high school,standard,none,60,58,62
female,group B,bachelor's degree,standard,none,67,75,69
male,group D,some high school,standard,none,76,75,71
male,group D,associate's degree,standard,none,85,80,79
female,group C,high school,free/reduced,completed,34,38,40
female,group D,some high school,standard,none,56,56,58
male,group E,associate's degree,free/reduced,none,86,79,73
male,group C,high school,standard,completed,39,49,39
male,group A,high school,free/reduced,none,64,72,62
male,group E,some high school,standard,none,43,31,32
female,group C,master's degree,standard,completed,79,85,92
female,group C,some high school,standard,completed,66,73,70
female,group C,some high school,free/reduced,none,56,66,65
male,group D,associate's degree,free/reduced,none,76,66,67
male,group D,some college,standard,completed,66,69,71
male,group D,high school,standard,none,74,70,65
male,group E,high school,standard,none,91,84,80
female,group A,associate's degree,standard,none,77,99,95
male,group C,some high school,free/reduced,none,59,54,51
female,group C,associate's degree,standard,none,51,63,62
male,group E,some college,free/reduced,none,68,61,51
male,group C,some high school,standard,none,84,73,70
male,group A,some college,free/reduced,completed,65,71,69
male,group C,some high school,standard,none,70,66,58
female,group C,high school,standard,none,81,82,77
female,group D,some college,standard,none,64,77,81
male,group B,bachelor's degree,standard,completed,79,77,80
female,group D,some high school,standard,completed,69,80,87
male,group C,bachelor's degree,free/reduced,none,86,78,74
female,group D,associate's degree,standard,none,81,92,93
female,group C,bachelor's degree,standard,completed,70,80,82
female,group C,bachelor's degree,standard,none,77,85,82
female,group C,bachelor's degree,standard,completed,64,78,77
male,group D,master's degree,standard,none,86,91,88
female,group A,some college,standard,none,62,73,70
female,group B,high school,standard,none,61,67,67
female,group C,bachelor's degree,free/reduced,completed,37,49,54
female,group D,bachelor's degree,free/reduced,none,77,90,94
male,group D,high school,free/reduced,none,82,82,72
male,group D,associate's degree,standard,none,79,64,68
male,group E,high school,standard,completed,86,82,75
male,group D,high school,standard,none,73,69,65
female,group E,high school,standard,none,77,75,79
female,group C,high school,standard,none,49,44,47
female,group C,bachelor's degree,standard,none,73,75,75
female,group C,high school,free/reduced,none,29,51,46
female,group B,some college,standard,completed,41,50,53
female,group E,some college,free/reduced,none,76,81,74
female,group C,some college,standard,none,53,61,65
female,group D,some college,standard,none,60,71,72
female,group B,high school,free/reduced,none,8,36,29
male,group C,some college,standard,completed,77,71,69
male,group D,bachelor's degree,standard,none,71,61,66
female,group C,some college,standard,none,67,67,73
female,group D,some high school,free/reduced,none,57,66,57
male,group D,some college,standard,completed,79,67,75
female,group A,associate's degree,standard,none,67,76,74
female,group D,some high school,free/reduced,none,54,67,56
female,group C,associate's degree,free/reduced,none,82,88,87
male,group A,some high school,free/reduced,none,74,68,67
female,group C,some college,standard,none,74,75,73
male,group C,associate's degree,free/reduced,completed,78,68,68
female,group C,high school,free/reduced,completed,53,72,67
female,group D,bachelor's degree,standard,none,72,81,78
female,group C,some college,standard,none,90,92,89
female,group E,associate's degree,standard,none,91,89,91
male,group A,bachelor's degree,standard,none,76,81,75
female,group D,some college,free/reduced,none,32,40,38
male,group B,high school,standard,completed,56,52,55
male,group D,associate's degree,free/reduced,completed,52,52,51
female,group C,some college,free/reduced,completed,43,61,65
female,group E,bachelor's degree,standard,none,88,80,78
female,group D,bachelor's degree,standard,none,67,77,80
male,group E,some college,standard,none,66,47,53
male,group C,some high school,standard,none,59,37,41
male,group A,associate's degree,standard,none,80,69,56
male,group D,master's degree,standard,completed,58,59,59
male,group C,high school,standard,none,84,76,74
male,group B,some college,free/reduced,none,59,51,47
female,group D,high school,free/reduced,completed,46,58,67
female,group C,bachelor's degree,free/reduced,none,68,88,81
female,group D,high school,free/reduced,none,55,57,59
female,group D,some high school,free/reduced,completed,38,44,52
male,group D,associate's degree,free/reduced,completed,71,70,68
female,group C,some high school,free/reduced,completed,79,73,81
female,group D,some college,free/reduced,none,61,79,70
male,group C,associate's degree,standard,none,91,82,78
male,group C,some college,standard,none,84,76,77
female,group A,bachelor's degree,standard,completed,87,90,95
male,group B,associate's degree,free/reduced,none,82,76,70
male,group E,high school,standard,completed,65,58,54
female,group C,some high school,free/reduced,completed,61,73,79
female,group D,associate's degree,free/reduced,completed,52,68,72
male,group C,high school,standard,completed,68,70,67
male,group E,bachelor's degree,standard,completed,93,80,81
male,group B,bachelor's degree,free/reduced,none,65,61,62
male,group C,high school,free/reduced,completed,44,58,49
female,group B,some college,standard,none,49,56,58
male,group E,master's degree,standard,none,86,84,80
female,group C,some college,free/reduced,none,49,57,53
male,group C,high school,standard,completed,79,74,77
male,group B,high school,standard,none,74,61,63
male,group D,high school,standard,none,66,55,55
female,group D,associate's degree,standard,none,69,79,70
male,group C,high school,standard,completed,72,62,68
female,group C,associate's degree,free/reduced,none,52,60,60
male,group D,some college,free/reduced,completed,58,53,57
male,group B,some high school,free/reduced,none,60,54,45
male,group D,some high school,standard,none,72,71,67
male,group D,some college,standard,completed,71,76,74
male,group D,high school,standard,completed,71,73,72
female,group D,some high school,standard,none,69,81,83
male,group C,associate's degree,free/reduced,none,52,59,54
female,group C,some high school,standard,none,42,42,47
male,group E,high school,standard,completed,67,70,74
male,group E,associate's degree,standard,completed,97,94,93
male,group E,some high school,free/reduced,none,59,46,39
female,group B,some high school,standard,completed,49,65,66
male,group C,some college,free/reduced,none,58,46,48
female,group E,bachelor's degree,standard,none,86,90,90
male,group B,high school,standard,completed,60,54,48
female,group E,some college,free/reduced,completed,82,91,93
male,group C,some college,standard,none,60,53,54
male,group A,some college,standard,none,63,62,62
female,group C,high school,free/reduced,none,46,45,43
female,group B,high school,standard,none,52,50,45
female,group A,associate's degree,free/reduced,none,48,61,54
male,group D,some college,free/reduced,none,44,49,42
male,group C,some college,standard,none,57,53,47
male,group B,master's degree,standard,none,85,74,78
male,group A,some college,standard,completed,80,70,69
male,group E,bachelor's degree,free/reduced,none,59,52,46
male,group D,some high school,free/reduced,completed,37,40,40
male,group C,some high school,standard,none,76,72,64
female,group B,master's degree,standard,none,77,78,79
female,group A,associate's degree,standard,none,73,82,82
male,group B,bachelor's degree,standard,none,64,72,61
male,group B,some college,standard,completed,71,74,68
female,group B,associate's degree,free/reduced,none,64,67,71
female,group D,associate's degree,standard,none,67,75,68
male,group E,associate's degree,standard,completed,67,52,62
male,group D,some college,free/reduced,completed,60,56,63
female,group B,bachelor's degree,standard,none,55,59,61
male,group C,high school,free/reduced,completed,72,77,75
male,group D,some college,free/reduced,completed,70,70,70
male,group C,some high school,free/reduced,completed,68,72,66
female,group C,associate's degree,standard,completed,93,100,100
female,group D,bachelor's degree,free/reduced,none,75,88,82
male,group D,master's degree,free/reduced,completed,96,86,88
female,group B,associate's degree,standard,completed,46,56,57
female,group D,bachelor's degree,standard,completed,93,99,100
female,group C,some high school,standard,none,67,71,71
male,group C,master's degree,standard,none,81,78,79
female,group A,some college,standard,none,41,49,43
female,group B,some high school,standard,completed,67,65,72
male,group A,bachelor's degree,free/reduced,none,48,55,48
male,group C,some high school,standard,completed,47,50,46
male,group E,bachelor's degree,standard,none,73,58,56
male,group D,associate's degree,standard,none,83,81,86
male,group D,associate's degree,standard,none,83,71,74
male,group C,some high school,free/reduced,completed,64,57,62
female,group D,some college,standard,none,45,60,66
female,group C,high school,standard,none,68,87,84
female,group B,some high school,standard,none,48,62,58
male,group D,associate's degree,free/reduced,none,53,60,47
female,group D,some high school,free/reduced,completed,57,60,63
female,group D,master's degree,standard,none,74,82,81
male,group C,bachelor's degree,standard,none,77,69,64
female,group B,associate's degree,free/reduced,none,70,90,83
female,group C,associate's degree,standard,completed,71,82,85
male,group D,high school,standard,completed,68,72,71
male,group C,associate's degree,free/reduced,none,67,67,67
female,group B,some college,standard,none,70,86,80
male,group B,master's degree,free/reduced,none,58,64,57
female,group C,some high school,free/reduced,none,47,61,62
female,group D,bachelor's degree,free/reduced,none,59,68,73
female,group B,bachelor's degree,free/reduced,none,46,62,57
female,group D,some high school,standard,none,50,66,56
male,group B,associate's degree,standard,none,98,80,81
female,group E,some college,standard,none,100,91,90
female,group E,bachelor's degree,free/reduced,completed,74,80,86
female,group A,associate's degree,standard,none,58,68,63
male,group C,associate's degree,standard,none,85,73,79
female,group D,some high school,standard,none,74,82,81
male,group E,some high school,free/reduced,none,60,46,45
female,group C,some high school,free/reduced,completed,53,68,68
male,group D,high school,standard,completed,60,58,56
female,group D,some college,free/reduced,none,73,88,91
female,group C,some high school,free/reduced,none,58,66,63
female,group C,associate's degree,standard,none,75,86,88
female,group A,associate's degree,standard,completed,71,75,76
male,group B,some college,standard,none,64,46,51
female,group A,master's degree,standard,completed,82,89,93
male,group A,bachelor's degree,free/reduced,completed,74,71,70
male,group B,associate's degree,standard,completed,54,61,56
male,group B,some high school,standard,completed,65,59,57
male,group C,master's degree,free/reduced,none,71,58,63
male,group C,associate's degree,standard,none,72,63,64
female,group B,some high school,standard,completed,66,81,81
male,group C,bachelor's degree,standard,none,69,63,61
female,group D,some college,free/reduced,none,41,52,53
male,group C,some college,standard,completed,89,87,87
male,group A,some college,free/reduced,none,61,59,55
male,group C,some college,free/reduced,completed,61,75,71
female,group B,some high school,standard,none,43,58,57
female,group C,associate's degree,standard,none,71,71,72
female,group D,some college,standard,completed,56,80,75
male,group C,high school,free/reduced,none,60,47,50
female,group E,associate's degree,standard,completed,97,100,100
female,group D,high school,standard,none,75,88,80
female,group E,associate's degree,free/reduced,none,81,83,83
female,group C,some high school,standard,none,73,82,78
female,group C,some college,standard,completed,61,74,73
male,group C,some college,standard,none,76,76,78
female,group C,some college,free/reduced,none,37,51,49
female,group B,bachelor's degree,standard,none,66,76,75
male,group B,master's degree,free/reduced,completed,56,51,55
male,group D,associate's degree,standard,completed,92,95,95
female,group D,some college,free/reduced,completed,76,91,88
female,group C,master's degree,standard,none,69,91,83
male,group E,associate's degree,standard,none,84,65,62
female,group B,some college,standard,none,65,72,69
female,group C,high school,free/reduced,completed,70,76,77
female,group B,bachelor's degree,standard,none,61,58,61
male,group D,high school,standard,completed,48,50,48
female,group B,master's degree,standard,none,88,94,93
female,group B,bachelor's degree,standard,none,78,88,89
male,group D,associate's degree,free/reduced,none,52,58,51
female,group C,some high school,standard,none,62,74,69
male,group D,bachelor's degree,standard,none,94,80,84
female,group B,high school,free/reduced,none,59,60,62
male,group B,associate's degree,standard,none,57,59,50
male,group A,master's degree,free/reduced,completed,81,89,83
female,group C,bachelor's degree,standard,completed,91,92,100
female,group B,some high school,standard,none,74,87,76
female,group B,some college,standard,completed,89,91,100
male,group B,associate's degree,free/reduced,completed,64,60,65
male,group C,some high school,standard,none,72,68,63
male,group D,high school,free/reduced,completed,75,73,77
female,group D,bachelor's degree,standard,completed,61,66,75
male,group C,associate's degree,standard,none,68,65,58
male,group D,some college,standard,completed,75,73,72
male,group C,high school,standard,completed,68,58,58
female,group C,some college,standard,completed,85,91,98
male,group D,high school,free/reduced,none,54,56,47
female,group C,high school,free/reduced,none,34,59,48
female,group C,some college,free/reduced,none,65,76,66
male,group D,some college,free/reduced,none,62,62,61
female,group A,some college,standard,none,59,71,72
female,group D,associate's degree,free/reduced,completed,57,77,84
male,group B,some college,standard,completed,41,46,40
male,group B,some high school,free/reduced,completed,44,48,46
female,group C,some college,standard,none,62,71,70
female,group D,high school,standard,none,45,47,52
female,group C,bachelor's degree,standard,completed,81,75,81
male,group D,some high school,standard,completed,74,75,71
female,group D,some high school,free/reduced,none,63,73,73
female,group D,master's degree,standard,completed,85,92,97
male,group D,high school,standard,none,83,72,64
male,group D,high school,standard,none,64,54,57
male,group C,bachelor's degree,standard,completed,81,72,71
male,group C,high school,free/reduced,none,62,77,66
female,group C,some high school,standard,none,64,67,66
male,group C,high school,standard,none,69,66,63
male,group D,high school,standard,none,88,78,77
male,group E,some high school,free/reduced,none,61,49,43
female,group C,associate's degree,standard,none,39,60,59
female,group D,bachelor's degree,free/reduced,completed,77,86,89
male,group D,some college,standard,none,73,77,77
female,group B,some college,standard,completed,48,50,52
male,group C,high school,free/reduced,none,60,56,51
female,group D,associate's degree,free/reduced,completed,56,71,78
female,group A,some high school,standard,completed,81,91,92
female,group A,high school,standard,completed,70,76,75
male,group B,associate's degree,standard,none,63,54,56
female,group D,some high school,standard,completed,80,89,85
male,group D,associate's degree,free/reduced,completed,94,90,84
male,group E,high school,standard,none,76,71,55
male,group C,bachelor's degree,standard,none,80,82,74
male,group C,some high school,free/reduced,completed,63,63,60
male,group C,some college,standard,none,72,62,62
male,group E,high school,standard,none,75,72,70
female,group D,master's degree,free/reduced,none,58,73,77
male,group D,bachelor's degree,free/reduced,completed,71,76,75
female,group D,associate's degree,standard,completed,62,78,77
female,group A,some college,standard,completed,73,79,87
male,group C,master's degree,standard,completed,71,73,72
female,group E,associate's degree,free/reduced,none,45,45,42
female,group D,associate's degree,free/reduced,completed,49,62,66
female,group E,high school,free/reduced,none,88,86,84
female,group A,some college,standard,none,48,65,63
female,group E,bachelor's degree,standard,none,78,77,75
female,group C,associate's degree,free/reduced,none,36,59,51
female,group C,bachelor's degree,free/reduced,none,57,69,68
female,group B,associate's degree,free/reduced,completed,54,64,59
male,group C,high school,free/reduced,completed,55,65,61
female,group C,high school,standard,completed,73,76,78
male,group D,high school,free/reduced,completed,66,68,71
male,group A,some college,standard,none,75,69,65
male,group E,bachelor's degree,free/reduced,completed,75,66,69
female,group D,bachelor's degree,standard,completed,93,100,100
female,group C,associate's degree,standard,completed,74,92,93
male,group B,some high school,standard,none,46,39,36
male,group D,some high school,standard,none,83,77,74
male,group D,master's degree,free/reduced,completed,73,80,85
female,group D,bachelor's degree,free/reduced,none,68,91,90
female,group C,bachelor's degree,standard,completed,77,76,86
male,group D,some college,standard,completed,91,92,90
female,group D,some high school,standard,none,56,63,57
male,group C,some college,free/reduced,completed,52,57,52
female,group A,some high school,free/reduced,none,59,62,63
female,group E,bachelor's degree,standard,completed,82,96,96
female,group B,associate's degree,free/reduced,completed,57,65,69
male,group C,bachelor's degree,free/reduced,none,48,49,46
female,group C,high school,standard,none,57,68,61
female,group D,master's degree,standard,none,93,97,100
female,group C,associate's degree,standard,completed,55,61,67
male,group C,associate's degree,standard,none,67,62,58
male,group C,bachelor's degree,standard,none,63,59,57
female,group B,some high school,free/reduced,completed,42,57,54
female,group C,some high school,standard,none,51,51,47
male,group B,some high school,standard,completed,63,66,65
male,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,standard,none,100,100,100
female,group C,some high school,standard,none,64,70,63
male,group E,bachelor's degree,free/reduced,none,79,75,73
female,group E,some college,standard,none,55,59,60
female,group D,high school,standard,completed,50,59,66
female,group C,master's degree,standard,none,67,79,70
male,group D,some college,standard,none,52,54,50
female,group A,bachelor's degree,standard,none,67,77,67
male,group A,associate's degree,standard,none,95,86,82
male,group B,some college,standard,none,56,55,51
male,group C,associate's degree,standard,completed,69,71,64
female,group B,bachelor's degree,standard,completed,65,74,78
male,group E,some college,free/reduced,completed,99,87,83
male,group E,high school,free/reduced,none,71,69,63
male,group B,master's degree,standard,none,85,76,76
male,group C,some college,standard,none,64,69,59
male,group D,high school,standard,none,71,64,64
female,group C,some high school,free/reduced,completed,78,86,93
male,group E,associate's degree,standard,none,77,65,72
male,group C,high school,standard,completed,48,63,55
male,group D,some high school,free/reduced,none,28,28,24
male,group B,associate's degree,free/reduced,none,57,61,50
female,group B,some high school,standard,none,49,52,52
male,group C,high school,standard,completed,65,63,60
female,group D,associate's degree,standard,none,43,51,53
male,group D,some high school,free/reduced,completed,67,54,61
female,group B,high school,standard,none,46,61,54
female,group A,some college,free/reduced,completed,41,53,54
female,group A,some high school,standard,none,68,87,79
female,group E,master's degree,standard,none,86,91,94
male,group B,some high school,free/reduced,none,48,61,51
male,group C,some college,standard,completed,63,66,66
male,group B,high school,standard,completed,88,77,82
female,group B,some high school,standard,none,69,66,63
male,group D,high school,standard,completed,93,72,78
male,group D,some high school,free/reduced,none,72,63,59
female,group C,some college,free/reduced,completed,55,70,64
male,group B,bachelor's degree,free/reduced,completed,83,81,78
male,group C,some high school,free/reduced,none,57,58,51
male,group B,some high school,free/reduced,none,54,55,58
female,group D,some college,standard,none,43,58,56
female,group B,high school,standard,completed,73,79,78
male,group C,high school,standard,completed,76,79,76
male,group B,associate's degree,standard,completed,64,66,64
